,登入日期,登入時間(以小時為單位),登入成功次數
2161,2021/10/29,20,30346
6369,2021/10/29,21,29297
1174,2021/10/29,22,27746
3509,2021/10/29,23,22762
5118,2021/10/3,0,14227
8742,2021/10/3,1,9485
2774,2021/10/3,2,6043
4347,2021/10/3,3,3672
9230,2021/10/3,4,2443
2788,2021/10/3,5,2739
5324,2021/10/3,6,4158
8475,2021/10/3,7,6766
3871,2021/10/3,8,10562
6083,2021/10/3,9,15237
4391,2021/10/3,10,18914
9395,2021/10/3,11,20466
1811,2021/10/3,12,20767
6194,2021/10/3,13,20658
7956,2021/10/3,14,20789
2060,2021/10/3,15,21196
4940,2021/10/3,16,21986
8548,2021/10/3,17,21881
5146,2021/10/3,18,21887
6433,2021/10/3,19,23460
5817,2021/10/3,20,25406
8161,2021/10/3,21,26590
1853,2021/10/3,22,26305
4506,2021/10/3,23,22120
4548,2021/10/30,0,16249
8954,2021/10/30,1,10069
4050,2021/10/30,2,6488
6100,2021/10/30,3,4009
1272,2021/10/30,4,2931
5905,2021/10/30,5,3167
6652,2021/10/30,6,5467
1109,2021/10/30,7,9424
4262,2021/10/30,8,13336
6084,2021/10/30,9,18040
5645,2021/10/30,10,21421
8375,2021/10/30,11,22456
2265,2021/10/30,12,22234
6254,2021/10/30,13,22259
475,2021/10/30,14,22885
3532,2021/10/30,15,22934
6611,2021/10/30,16,22092
251,2021/10/30,17,22345
4054,2021/10/30,18,21521
8207,2021/10/30,19,22173
4936,2021/10/30,20,22657
7646,2021/10/30,21,22993
837,2021/10/30,22,21806
6091,2021/10/30,23,18669
8957,2021/10/31,0,13812
2393,2021/10/31,1,9322
4389,2021/10/31,2,5919
9303,2021/10/31,3,3752
3158,2021/10/31,4,2871
5789,2021/10/31,5,2662
888,2021/10/31,6,4141
4223,2021/10/31,7,6809
7887,2021/10/31,8,10624
362,2021/10/31,9,15098
8543,2021/10/31,10,18535
2795,2021/10/31,11,20095
6544,2021/10/31,12,20855
160,2021/10/31,13,21274
2731,2021/10/31,14,21677
5553,2021/10/31,15,22516
7543,2021/10/31,16,23300
2836,2021/10/31,17,23920
5776,2021/10/31,18,23689
260,2021/10/31,19,25677
7053,2021/10/31,20,27954
1728,2021/10/31,21,29924
5411,2021/10/31,22,28951
7523,2021/10/31,23,25240
6908,2021/10/4,0,16008
369,2021/10/4,1,10506
5407,2021/10/4,2,6382
6741,2021/10/4,3,3647
1128,2021/10/4,4,2781
3714,2021/10/4,5,3499
6625,2021/10/4,6,7959
2192,2021/10/4,7,19768
7164,2021/10/4,8,27623
9449,2021/10/4,9,47083
7108,2021/10/4,10,46606
1263,2021/10/4,11,47551
4545,2021/10/4,12,50250
6657,2021/10/4,13,49597
1440,2021/10/4,14,45622
3877,2021/10/4,15,44004
7797,2021/10/4,16,37651
2441,2021/10/4,17,35302
5434,2021/10/4,18,33631
8434,2021/10/4,19,35182
7499,2021/10/4,20,36214
1286,2021/10/4,21,36524
6208,2021/10/4,22,33955
7548,2021/10/4,23,29446
1316,2021/10/5,0,22903
3469,2021/10/5,1,12770
5009,2021/10/5,2,7445
1116,2021/10/5,3,5071
3615,2021/10/5,4,4554
8336,2021/10/5,5,6444
2557,2021/10/5,6,16575
5112,2021/10/5,7,36646
7495,2021/10/5,8,42882
2260,2021/10/5,9,59666
390,2021/10/5,10,60836
5346,2021/10/5,11,59334
7869,2021/10/5,12,62325
735,2021/10/5,13,59626
5057,2021/10/5,14,56211
8205,2021/10/5,15,63557
1614,2021/10/5,16,52408
4488,2021/10/5,17,46709
9264,2021/10/5,18,44893
2521,2021/10/5,19,46543
9297,2021/10/5,20,48926
3420,2021/10/5,21,47812
5208,2021/10/5,22,44828
556,2021/10/5,23,34352
2178,2021/10/6,0,22649
5542,2021/10/6,1,12450
143,2021/10/6,2,7227
2904,2021/10/6,3,4770
7033,2021/10/6,4,3828
285,2021/10/6,5,4968
4128,2021/10/6,6,11654
6111,2021/10/6,7,29757
1590,2021/10/6,8,39830
4916,2021/10/6,9,50108
2645,2021/10/6,10,47975
4782,2021/10/6,11,47267
397,2021/10/6,12,49804
3818,2021/10/6,13,48955
6644,2021/10/6,14,45872
855,2021/10/6,15,49293
3540,2021/10/6,16,39188
6368,2021/10/6,17,35956
905,2021/10/6,18,35195
4013,2021/10/6,19,36597
1456,2021/10/6,20,37651
6968,2021/10/6,21,37861
9408,2021/10/6,22,35631
2206,2021/10/6,23,28320
7023,2021/10/7,0,18657
8636,2021/10/7,1,9249
3844,2021/10/7,2,6753
5974,2021/10/7,3,4130
746,2021/10/7,4,3362
2856,2021/10/7,5,4539
4777,2021/10/7,6,10278
1464,2021/10/7,7,25328
3543,2021/10/7,8,29277
7929,2021/10/7,9,42757
4986,2021/10/7,10,45471
9375,2021/10/7,11,45727
2745,2021/10/7,12,46158
7727,2021/10/7,13,43856
8545,2021/10/7,14,40579
4134,2021/10/7,15,45060
7636,2021/10/7,16,42383
9379,2021/10/7,17,36563
4132,2021/10/7,18,34197
6264,2021/10/7,19,34356
3522,2021/10/7,20,34540
7735,2021/10/7,21,35196
901,2021/10/7,22,32998
7654,2021/10/7,23,26785
7984,2021/10/8,0,18976
1719,2021/10/8,1,11308
5173,2021/10/8,2,7887
9388,2021/10/8,3,4495
3154,2021/10/8,4,3771
4417,2021/10/8,5,5498
9265,2021/10/8,6,11897
4039,2021/10/8,7,24771
5298,2021/10/8,8,33601
9058,2021/10/8,9,45445
7916,2021/10/8,10,47940
1071,2021/10/8,11,50632
3570,2021/10/8,12,51817
6821,2021/10/8,13,49623
1769,2021/10/8,14,45890
5290,2021/10/8,15,47247
8921,2021/10/8,16,40704
3409,2021/10/8,17,37526
4383,2021/10/8,18,34615
7896,2021/10/8,19,34408
6475,2021/10/8,20,33902
931,2021/10/8,21,33247
5824,2021/10/8,22,31947
8487,2021/10/8,23,26725
1076,2021/10/9,0,19367
3163,2021/10/9,1,12240
8097,2021/10/9,2,7592
2214,2021/10/9,3,5037
4681,2021/10/9,4,3861
9029,2021/10/9,5,4102
2031,2021/10/9,6,8140
4382,2021/10/9,7,11542
7744,2021/10/9,8,15861
1521,2021/10/9,9,20195
480,2021/10/9,10,23142
4025,2021/10/9,11,23945
7116,2021/10/9,12,24123
1966,2021/10/9,13,24587
4950,2021/10/9,14,24390
7371,2021/10/9,15,24850
1223,2021/10/9,16,23258
4374,2021/10/9,17,23206
9114,2021/10/9,18,22245
1250,2021/10/9,19,22680
108,2021/10/9,20,23998
3273,2021/10/9,21,24606
9118,2021/10/9,22,23473
1954,2021/10/9,23,20576
3434,2021/11/1,0,20938
6794,2021/11/1,1,12844
7554,2021/11/1,2,7939
2843,2021/11/1,3,4607
4051,2021/11/1,4,3453
1210,2021/11/1,5,3967
2306,2021/11/1,6,9546
6635,2021/11/1,7,24469
557,2021/11/1,8,36343
3939,2021/11/1,9,52217
2930,2021/11/1,10,54535
5319,2021/11/1,11,52519
9285,2021/11/1,12,53262
3259,2021/11/1,13,52357
3559,2021/11/1,14,48326
9173,2021/11/1,15,45799
3440,2021/11/1,16,39834
6996,2021/11/1,17,38682
835,2021/11/1,18,36839
4029,2021/11/1,19,39419
2187,2021/11/1,20,39926
3857,2021/11/1,21,40204
7799,2021/11/1,22,37679
4080,2021/11/1,23,29714
5185,2021/11/10,0,19395
9022,2021/11/10,1,11018
2532,2021/11/10,2,6759
6496,2021/11/10,3,4654
704,2021/11/10,4,3932
3800,2021/11/10,5,5795
7998,2021/11/10,6,14346
813,2021/11/10,7,28407
3080,2021/11/10,8,38405
7430,2021/11/10,9,52995
7076,2021/11/10,10,57942
9248,2021/11/10,11,58604
1669,2021/11/10,12,61492
6710,2021/11/10,13,60012
1254,2021/11/10,14,54700
2461,2021/11/10,15,56948
6630,2021/11/10,16,46292
1055,2021/11/10,17,42771
4397,2021/11/10,18,42355
6726,2021/11/10,19,42714
4965,2021/11/10,20,43650
8733,2021/11/10,21,43389
2873,2021/11/10,22,42237
4775,2021/11/10,23,34321
8779,2021/11/11,0,30174
2258,2021/11/11,1,17456
5282,2021/11/11,2,9158
8799,2021/11/11,3,5311
1302,2021/11/11,4,4061
5651,2021/11/11,5,4944
710,2021/11/11,6,11481
2481,2021/11/11,7,24918
6852,2021/11/11,8,32169
368,2021/11/11,9,47171
7667,2021/11/11,10,48580
1646,2021/11/11,11,48700
5258,2021/11/11,12,52121
7853,2021/11/11,13,50094
561,2021/11/11,14,44931
6711,2021/11/11,15,47353
8013,2021/11/11,16,40878
3059,2021/11/11,17,36838
4381,2021/11/11,18,36133
648,2021/11/11,19,36907
7411,2021/11/11,20,39371
3312,2021/11/11,21,40249
5169,2021/11/11,22,39747
7426,2021/11/11,23,34168
1459,2021/11/12,0,23491
2398,2021/11/12,1,12439
7214,2021/11/12,2,7238
1315,2021/11/12,3,4739
6002,2021/11/12,4,3491
311,2021/11/12,5,4641
3521,2021/11/12,6,9730
5151,2021/11/12,7,22774
9137,2021/11/12,8,28205
3556,2021/11/12,9,42468
33,2021/11/12,10,44827
3138,2021/11/12,11,44216
6129,2021/11/12,12,47363
1580,2021/11/12,13,45553
5851,2021/11/12,14,43846
9321,2021/11/12,15,43989
4463,2021/11/12,16,36271
6080,2021/11/12,17,34054
8792,2021/11/12,18,31435
2824,2021/11/12,19,31055
1460,2021/11/12,20,30712
4352,2021/11/12,21,30483
8903,2021/11/12,22,28658
2186,2021/11/12,23,24089
4479,2021/11/13,0,17377
6833,2021/11/13,1,10538
420,2021/11/13,2,6634
3155,2021/11/13,3,4254
7655,2021/11/13,4,3145
1311,2021/11/13,5,3290
3868,2021/11/13,6,5172
9244,2021/11/13,7,9162
3490,2021/11/13,8,13379
5666,2021/11/13,9,17754
5394,2021/11/13,10,21428
7892,2021/11/13,11,25449
1062,2021/11/13,12,23631
5932,2021/11/13,13,22742
5682,2021/11/13,14,23691
1248,2021/11/13,15,24169
5322,2021/11/13,16,23228
9371,2021/11/13,17,23180
2510,2021/11/13,18,22236
4440,2021/11/13,19,23341
4917,2021/11/13,20,23658
5788,2021/11/13,21,24090
1297,2021/11/13,22,22756
4694,2021/11/13,23,19689
8058,2021/11/14,0,14846
144,2021/11/14,1,9620
3758,2021/11/14,2,5968
6646,2021/11/14,3,4041
602,2021/11/14,4,2785
4591,2021/11/14,5,2699
6830,2021/11/14,6,3918
1937,2021/11/14,7,6586
4361,2021/11/14,8,10096
7535,2021/11/14,9,14714
5859,2021/11/14,10,18483
358,2021/11/14,11,20319
4133,2021/11/14,12,20524
8297,2021/11/14,13,21100
268,2021/11/14,14,21428
5301,2021/11/14,15,22061
7337,2021/11/14,16,22488
316,2021/11/14,17,22333
4679,2021/11/14,18,22889
7375,2021/11/14,19,24845
6350,2021/11/14,20,26357
510,2021/11/14,21,27876
3728,2021/11/14,22,28414
4983,2021/11/14,23,23718
8658,2021/11/15,0,17583
3500,2021/11/15,1,11141
5893,2021/11/15,2,7549
8757,2021/11/15,3,4153
1939,2021/11/15,4,3181
6589,2021/11/15,5,3843
977,2021/11/15,6,8925
3045,2021/11/15,7,25516
6920,2021/11/15,8,34883
1103,2021/11/15,9,50748
9190,2021/11/15,10,55915
1029,2021/11/15,11,53892
5887,2021/11/15,12,53766
113,2021/11/15,13,54462
2094,2021/11/15,14,49400
5886,2021/11/15,15,46397
7645,2021/11/15,16,40524
5039,2021/11/15,17,37656
6252,2021/11/15,18,35805
1287,2021/11/15,19,37656
9249,2021/11/15,20,38756
3695,2021/11/15,21,38632
5705,2021/11/15,22,36019
6786,2021/11/15,23,28734
1999,2021/11/16,0,19530
4963,2021/11/16,1,11154
8825,2021/11/16,2,6460
3295,2021/11/16,3,4255
4858,2021/11/16,4,3442
8985,2021/11/16,5,4488
2147,2021/11/16,6,10521
6157,2021/11/16,7,23587
8673,2021/11/16,8,34202
2665,2021/11/16,9,45668
2719,2021/11/16,10,47822
5072,2021/11/16,11,46840
8833,2021/11/16,12,48389
2570,2021/11/16,13,46710
5499,2021/11/16,14,43501
8801,2021/11/16,15,44330
1928,2021/11/16,16,38559
4723,2021/11/16,17,33829
9247,2021/11/16,18,33651
2646,2021/11/16,19,35446
685,2021/11/16,20,36214
5557,2021/11/16,21,35822
7374,2021/11/16,22,34470
1921,2021/11/16,23,27631
6533,2021/11/17,0,19008
8524,2021/11/17,1,10886
